date,records,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20260813,907,00,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260812,,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX
20260811,,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX
20260810,,76,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX
20260809,,76,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX
20260808,,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX
20260807,,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX
20260806,,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX,77,XX,XX,XX,XX,XX,76,XX,XX,XX,XX,XX
