2026-08-26 19:39:19,36.4689,-91.6408,15,2
2026-08-26 19:39:16,45.86,-60.913,-20,4
2026-08-26 19:39:16,36.3507,-92.7073,-79,7
2026-08-26 19:39:14,35.1401,-91.793,-19,3
2026-08-26 19:39:13,64.8119,-117.3639,-18,1
2026-08-26 19:39:06,36.6482,-92.2997,-9,1
2026-08-26 19:39:06,38.0466,-59.9744,-111,1
2026-08-26 19:39:05,46.3838,-60.4471,-12,1
2026-08-26 19:39:04,41.6897,-85.8232,16,1
2026-08-26 19:38:58,40.9958,-86.6565,-5,1
2026-08-26 19:38:53,36.5223,-92.3416,-11,1
2026-08-26 19:38:49,36.37,-92.6588,-47,2
2026-08-26 19:38:48,42.3132,-110.1536,-68,3
2026-08-26 19:38:45,36.4806,-91.6269,15,1
2026-08-26 19:38:44,45.3041,-84.5495,-13,2
2026-08-26 19:38:44,36.4821,-92.3312,5,1
2026-08-26 19:38:44,35.3618,-91.9107,-13,2
2026-08-26 19:38:44,45.3683,-84.6336,-11,1
2026-08-26 19:38:41,35.2399,-86.5297,19,1
2026-08-26 19:38:36,36.3385,-92.6583,-25,5
2026-08-26 19:38:34,41.6764,-85.7305,-5,1
2026-08-26 19:38:34,36.4123,-91.8906,5,1
2026-08-26 19:38:26,35.0552,-91.8144,-20,1
2026-08-26 19:38:24,45.8909,-60.8717,-32,1
2026-08-26 19:38:23,35.5388,-81.3953,-10,1
