date,records,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20260904,2877,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260903,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260902,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260901,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260831,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260830,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260829,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
20260828,,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,11,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
