2026-09-02 21:58:04,47.7808,-72.6471,-6,2
2026-09-02 21:58:03,36.7248,-77.36,-14,5
2026-09-02 21:58:02,43.5934,-78.8959,-3,1
2026-09-02 21:58:02,49.371,-114.036,-22,1
2026-09-02 21:58:00,36.9167,-77.4403,15,1
2026-09-02 21:57:54,37.8162,-78.1907,-8,1
2026-09-02 21:57:54,39.9998,-78.3487,-11,4
2026-09-02 21:57:54,43.4898,-78.675,52,1
2026-09-02 21:57:53,43.2595,-83.1509,10,1
2026-09-02 21:57:52,43.6574,-78.3307,-11,1
2026-09-02 21:57:47,43.7505,-79.4405,-6,1
2026-09-02 21:57:46,50.1974,-107.651,-68,1
2026-09-02 21:57:45,40.0189,-110.4465,-8,2
2026-09-02 21:57:45,50.2536,-120.8794,14,3
2026-09-02 21:57:45,36.1785,-76.8448,-35,2
2026-09-02 21:57:44,40.3526,-109.903,-14,2
2026-09-02 21:57:43,38.7632,-78.6891,-19,2
2026-09-02 21:57:42,49.348,-114.3207,-16,2
2026-09-02 21:57:41,42.9877,-81.2916,-9,1
2026-09-02 21:57:39,43.0973,-80.7427,5,1
2026-09-02 21:57:38,41.3414,-79.7507,19,1
2026-09-02 21:57:38,43.7116,-79.5344,-14,1
2026-09-02 21:57:38,36.7805,-77.4315,-40,6
2026-09-02 21:57:37,35.1373,-76.7063,-46,1
2026-09-02 21:57:34,36.8576,-77.504,-43,1
