date,records,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20260812,1061,81,82,82,82,82,82,82,81,81,81,82,82,82,82,82,82,XX,XX,XX,XX,XX,XX,XX,XX
20260811,,81,81,81,81,81,81,80,80,81,80,80,80,81,82,82,81,81,81,82,81,81,82,81,82
20260810,,80,80,80,80,81,80,80,81,80,81,81,81,81,81,81,81,82,81,81,81,81,81,81,81
20260809,,80,80,80,80,80,79,81,81,81,81,81,80,80,81,81,81,80,81,81,81,81,81,81,80
20260808,,81,81,81,80,80,79,80,80,79,80,80,80,80,81,81,81,81,81,80,81,81,81,81,81
20260807,,80,81,79,81,81,78,81,80,81,81,81,81,81,82,81,81,81,81,80,81,80,81,81,80
20260806,,81,80,80,80,81,78,81,79,77,81,81,81,81,81,80,81,81,80,81,80,81,80,81,80
20260805,,80,81,80,81,80,78,80,80,80,80,80,80,81,80,81,81,80,81,81,81,80,81,81,80
