2026-09-04 15:46:18,42.9025,-87.8221,-31,3
2026-09-04 15:46:14,37.8113,-68.7035,-21,2
2026-09-04 15:46:08,37.7105,-65.9998,39,1
2026-09-04 15:46:06,38.0274,-66.358,-55,3
2026-09-04 15:46:06,40.0912,-83.5407,26,1
2026-09-04 15:46:05,38.1018,-66.5785,-35,3
2026-09-04 15:46:05,42.5618,-86.0901,-23,11
2026-09-04 15:46:02,38.708,-66.6391,23,1
2026-09-04 15:46:02,38.6781,-66.5157,33,1
2026-09-04 15:45:56,42.5355,-87.2001,-66,3
2026-09-04 15:45:56,37.7655,-68.6685,-25,3
2026-09-04 15:45:51,41.8089,-61.751,33,1
2026-09-04 15:45:46,42.7976,-88.4341,-158,7
2026-09-04 15:45:45,43.2229,-101.252,-17,1
2026-09-04 15:45:41,42.3911,-87.515,-63,2
2026-09-04 15:45:39,36.7013,-67.3479,-47,4
2026-09-04 15:45:37,43.1385,-88.2363,38,1
2026-09-04 15:45:36,38.0209,-65.4879,39,1
2026-09-04 15:45:35,43.4451,-90.0309,-23,3
2026-09-04 15:45:33,35.8087,-67.9967,-44,1
2026-09-04 15:45:31,39.6835,-82.3807,45,1
2026-09-04 15:45:25,37.9065,-65.4065,-30,1
2026-09-04 15:45:25,40.1731,-82.3107,34,1
2026-09-04 15:45:22,43.0067,-90.7889,-32,1
2026-09-04 15:45:20,42.8728,-87.9513,-17,2
